"argomento_normalizzato","lemma_normalizzato","occorrenze_lemma","chiave_semantica","varianti_nella_chiave_semantica","macrocategoria","occorrenze_macrocategoria","esito_revisione","blocco_principale","testo_originale","azione_editoriale","gruppo_editoriale","tipo_accorpamento","occorrenze_gruppo_editoriale","tipo_indicatore","natura","occorrenze_in_slide_distinte","area","codice_blocco","titolo_blocco","file","numero_slide","titolo_slide","stato_verifica_contenuto","data_verifica_contenuto","hash_verifica_contenuto","riferimento"
"causa","causa","9","caus","1","","0","progressione nello stesso blocco","","Causa","mantenere come progressione","lemma: causa","voce autonoma o già distinta","9","titolo_h3","contenuto","9","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","15","#N/D","non verificata","","","su03-04-prime-formule.html#slide-15"
"causa","causa","9","caus","1","","0","progressione nello stesso blocco","","Causa","mantenere come progressione","lemma: causa","voce autonoma o già distinta","9","titolo_h3","contenuto","9","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","16","#NUM!","non verificata","","","su03-04-prime-formule.html#slide-16"
"causa","causa","9","caus","1","","0","progressione nello stesso blocco","","Causa","mantenere come progressione","lemma: causa","voce autonoma o già distinta","9","titolo_h3","contenuto","9","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","17","#NULLO!","non verificata","","","su03-04-prime-formule.html#slide-17"
"causa","causa","9","caus","1","","0","progressione nello stesso blocco","","Causa","mantenere come progressione","lemma: causa","voce autonoma o già distinta","9","titolo_h3","contenuto","9","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","18","#ERROR!","non verificata","","","su03-04-prime-formule.html#slide-18"
"causa","causa","9","caus","1","","0","progressione nello stesso blocco","","Causa","mantenere come progressione","lemma: causa","voce autonoma o già distinta","9","titolo_h3","contenuto","9","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","19","#ESPANSIONE!","non verificata","","","su03-04-prime-formule.html#slide-19"
"causa","causa","9","caus","1","","0","progressione nello stesso blocco","","Causa","mantenere come progressione","lemma: causa","voce autonoma o già distinta","9","titolo_h3","contenuto","9","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","20","#CALC!","non verificata","","","su03-04-prime-formule.html#slide-20"
"modello","modello","5","modell","1","intelligenza artificiale","29","tema condiviso con blocco principale","IA01 · Concetti generali","Modello","usare il blocco principale come riferimento","lemma: modello","voce autonoma o già distinta","5","grassetto","contenuto","5","Intelligenza Artificiale","IA01","Concetti generali","ia01-concetti-generali.html","9","Come impara una macchina?","non verificata","","","ia01-concetti-generali.html#slide-9"
"modello","modello","5","modell","1","intelligenza artificiale","29","tema condiviso con blocco principale","IA01 · Concetti generali","Modello","usare il blocco principale come riferimento","lemma: modello","voce autonoma o già distinta","5","titolo_h3","contenuto","5","Intelligenza Artificiale","IA04","Diversi modelli di IA","ia04-diversi-modelli-ia.html","2","Prima distinzione: modello, app, sistema","non verificata","","","ia04-diversi-modelli-ia.html#slide-2"
"modello","modello","5","modell","1","intelligenza artificiale","29","tema condiviso con blocco principale","IA01 · Concetti generali","Modello","usare il blocco principale come riferimento","lemma: modello","voce autonoma o già distinta","5","titolo_h3","contenuto","5","Intelligenza Artificiale","IA04","Diversi modelli di IA","ia04-diversi-modelli-ia.html","11","Un agente è un sistema , non una specie di modello","non verificata","","","ia04-diversi-modelli-ia.html#slide-11"
"modello","modello","5","modell","1","intelligenza artificiale","29","tema condiviso con blocco principale","IA01 · Concetti generali","Modello","usare il blocco principale come riferimento","lemma: modello","voce autonoma o già distinta","5","titolo_h3","contenuto","5","Suite Ufficio","SU02.04","Word: documenti professionali","su02-04-word-documenti-professionali.html","11","Crea un kit professionale riutilizzabile","non verificata","","","su02-04-word-documenti-professionali.html#slide-11"
"modello","modello","5","modell","1","intelligenza artificiale","29","tema condiviso con blocco principale","IA01 · Concetti generali","Modello","usare il blocco principale come riferimento","lemma: modello","voce autonoma o già distinta","5","grassetto","contenuto","5","Suite Ufficio","SU03.03","Fondamenti matematici","su03-03-fondamenti-matematici.html","27","Funzione costante e identità","non verificata","","","su03-03-fondamenti-matematici.html#slide-27"
"da evitare","da evitare","4","evit","1","","0","tema condiviso con blocco principale","RW02.01 · La posta elettronica","Da evitare","usare il blocco principale come riferimento","lemma: da evitare","voce autonoma o già distinta","4","titolo_h3","contenuto","4","Programmazione","PR05.02","Python: strumenti e applicazioni","pr05-02-python-strumenti.html","28","Parametri SQL, mai concatenazione","non verificata","","","pr05-02-python-strumenti.html#slide-28"
"da evitare","da evitare","4","evit","1","posta elettronica","51","tema condiviso con blocco principale","RW02.01 · La posta elettronica","✗ Da evitare","usare il blocco principale come riferimento","lemma: da evitare","voce autonoma o già distinta","4","titolo_h3","contenuto","4","Reti e Web","RW02.01","La Posta Elettronica","rw02-01-email.html","4","Un indirizzo email professionale","non verificata","","","rw02-01-email.html#slide-4"
"da evitare","da evitare","4","evit","1","","0","tema condiviso con blocco principale","RW02.01 · La posta elettronica","Da evitare","usare il blocco principale come riferimento","lemma: da evitare","voce autonoma o già distinta","4","titolo_h3","contenuto","4","Reti e Web","RW02.04","Collaborazione Digitale","rw02-04-collaborazione-digitale.html","6","Da fare","non verificata","","","rw02-04-collaborazione-digitale.html#slide-6"
"da evitare","da evitare","4","evit","1","","0","tema condiviso con blocco principale","RW02.01 · La posta elettronica","❌ Da evitare","usare il blocco principale come riferimento","lemma: da evitare","voce autonoma o già distinta","4","intestazione_tabella","contenuto","4","Suite Ufficio","SU04.01","Dillo con una slide","su04-01-presentazioni.html","11","Gli errori più comuni","non verificata","","","su04-01-presentazioni.html#slide-11"
"da sapere","da sapere","4","sap","1","audio e microfono","34","ripetizione lessicale da distinguere","","Da sapere:","mantenere distinta per contesto","lemma: da sapere","voce autonoma o già distinta","4","principio","contenuto","4","Intelligenza Artificiale","IA05","Strumenti gratuiti online","ia05-strumenti-gratuiti.html","6","Audio, voce e trascrizione","non verificata","","","ia05-strumenti-gratuiti.html#slide-6"
"da sapere","da sapere","4","sap","1","project management","24","ripetizione lessicale da distinguere","","Da sapere","mantenere distinta per contesto","lemma: da sapere","voce autonoma o già distinta","4","intestazione_tabella","contenuto","4","Programmazione","PR04.02","Lavorare e scegliere","pr04-02-strumenti-ambiente.html","6","IDE completi: quando il progetto ha una piattaforma","non verificata","","","pr04-02-strumenti-ambiente.html#slide-6"
"da sapere","da sapere","4","sap","1","","0","ripetizione lessicale da distinguere","","Da sapere","mantenere distinta per contesto","lemma: da sapere","voce autonoma o già distinta","4","etichetta","contenuto","4","Smartphones","SM05","Privacy sul telefono","sm05-privacy-telefono.html","7","Rubrica e messaggi","non verificata","","","sm05-privacy-telefono.html#slide-7"
"da sapere","da sapere","4","sap","1","","0","ripetizione lessicale da distinguere","","Da sapere","mantenere distinta per contesto","lemma: da sapere","voce autonoma o già distinta","4","etichetta","contenuto","4","Smartphones","SM08","Fotocamera e contenuti","sm08-fotocamera-contenuti.html","5","Fotocamera computazionale","non verificata","","","sm08-fotocamera-contenuti.html#slide-5"
"limite","limite","4","lim","1","","0","tema condiviso con blocco principale","RW01.04 · Ricerca e gestione delle informazioni","Limite","usare il blocco principale come riferimento","lemma: limite","voce autonoma o già distinta","4","etichetta","contenuto","4","Programmazione","PR01.01","Introduzione alla programmazione","pr01-01-introduzione-programmazione.html","8","Prima di eseguire","non verificata","","","pr01-01-introduzione-programmazione.html#slide-8"
"limite","limite","4","lim","1","","0","tema condiviso con blocco principale","RW01.04 · Ricerca e gestione delle informazioni","Limite","usare il blocco principale come riferimento","lemma: limite","voce autonoma o già distinta","4","titolo_h3","contenuto","4","Programmazione","PR05.02","Python: strumenti e applicazioni","pr05-02-python-strumenti.html","21","Casi normali, limite ed errore","non verificata","","","pr05-02-python-strumenti.html#slide-21"
"limite","limite","4","lim","1","ricerca e valutazione fonti","29","tema condiviso con blocco principale","RW01.04 · Ricerca e gestione delle informazioni","Limite","usare il blocco principale come riferimento","lemma: limite","voce autonoma o già distinta","4","intestazione_tabella","contenuto","4","Suite Ufficio","SU03.05","Analizzare e cercare","su03-05-analisi.html","13","Quale funzione di ricerca scegliere?","non verificata","","","su03-05-analisi.html#slide-13"
"limite","limite","4","lim","1","","0","tema condiviso con blocco principale","RW01.04 · Ricerca e gestione delle informazioni","Limite","usare il blocco principale come riferimento","lemma: limite","voce autonoma o già distinta","4","etichetta","contenuto","4","Suite Ufficio","SU03.10","Grafici nei fogli di calcolo","su03-10-grafici.html","14","Grafico combinato: quantità e tasso insieme","non verificata","","","su03-10-grafici.html#slide-14"
"+ /","+ /","3","+","1","","0","ricorrenza rara verificata in contesti distinti","","+ − * /","mantenere distinta per contesto","lemma: + /","voce autonoma o già distinta","3","grassetto","contenuto","3","Programmazione","PR01.05","Operatori e funzioni","pr01-05-operatori-funzioni.html","2","Aritmetici, relazionali e logici","non verificata","","","pr01-05-operatori-funzioni.html#slide-2"
"+ /","+ /","3","+","1","","0","ricorrenza rara verificata in contesti distinti","","+ − * /","mantenere distinta per contesto","lemma: + /","voce autonoma o già distinta","3","grassetto","contenuto","3","Programmazione","PR05.01","Python di base","pr05-01-python-base.html","11","Operatori: calcolare, confrontare, combinare","non verificata","","","pr05-01-python-base.html#slide-11"
"+ /","+ /","3","+","1","","0","ricorrenza rara verificata in contesti distinti","","+ − * /","mantenere distinta per contesto","lemma: + /","voce autonoma o già distinta","3","titolo_h3","contenuto","3","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","3","Operatori aritmetici e logici","non verificata","","","su03-04-prime-formule.html#slide-3"
"a2","a2","3","a2","1","","0","tema condiviso con blocco principale","PR01.02 · Dati e codifica","A2","usare il blocco principale come riferimento","lemma: a2","voce autonoma o già distinta","3","grassetto","contenuto","3","Suite Ufficio","SU03.04","Prime formule","su03-04-prime-formule.html","15","#N/D","non verificata","","","su03-04-prime-formule.html#slide-15"
"a2","a2","3","a2","1","","0","tema condiviso con blocco principale","PR01.02 · Dati e codifica","A2","usare il blocco principale come riferimento","lemma: a2","voce autonoma o già distinta","3","grassetto","contenuto","3","Suite Ufficio","SU03.07","Manipolare il testo","su03-07-testo.html","4","SPLIT: una cella, più colonne","non verificata","","","su03-07-testo.html#slide-4"
"a2","a2","3","a2","1","tipi di dato","81","tema condiviso con blocco principale","PR01.02 · Dati e codifica","A2","usare il blocco principale come riferimento","lemma: a2","voce autonoma o già distinta","3","grassetto","contenuto","3","Suite Ufficio","SU03.07","Manipolare il testo","su03-07-testo.html","9","Numeri travestiti da testo","non verificata","","","su03-07-testo.html#slide-9"
"and","and","3","and","1","programmazione","79","tema condiviso con blocco principale","PR01.01 · Introduzione alla programmazione","and","usare il blocco principale come riferimento","lemma: and","voce autonoma o già distinta","3","grassetto","contenuto","3","Programmazione","PR01.05","Operatori e funzioni","pr01-05-operatori-funzioni.html","2","Aritmetici, relazionali e logici","non verificata","","","pr01-05-operatori-funzioni.html#slide-2"
"and","and","3","and","1","programmazione","79","tema condiviso con blocco principale","PR01.01 · Introduzione alla programmazione","AND","usare il blocco principale come riferimento","lemma: and","voce autonoma o già distinta","3","titolo_h3","contenuto","3","Programmazione","PR01.05","Operatori e funzioni","pr01-05-operatori-funzioni.html","10","AND, OR, NOT","non verificata","","","pr01-05-operatori-funzioni.html#slide-10"
"and","and","3","and","1","programmazione","79","tema condiviso con blocco principale","PR01.01 · Introduzione alla programmazione","and","usare il blocco principale come riferimento","lemma: and","voce autonoma o già distinta","3","grassetto","contenuto","3","Programmazione","PR05.01","Python di base","pr05-01-python-base.html","11","Operatori: calcolare, confrontare, combinare","non verificata","","","pr05-01-python-base.html#slide-11"
"b prezzo","b prezzo","3","b prezz","1","","0","tema condiviso con blocco principale","RW01.04 · Ricerca e gestione delle informazioni","B (prezzo)","usare il blocco principale come riferimento","lemma: b prezzo","voce autonoma o già distinta","3","intestazione_tabella","contenuto","3","Suite Ufficio","SU03.02","Riferimenti e range","su03-02-riferimenti.html","3","Riferimenti relativi","non verificata","","","su03-02-riferimenti.html#slide-3"
"b prezzo","b prezzo","3","b prezz","1","ricerca e valutazione fonti","29","tema condiviso con blocco principale","RW01.04 · Ricerca e gestione delle informazioni","B (Prezzo)","usare il blocco principale come riferimento","lemma: b prezzo","voce autonoma o già distinta","3","intestazione_tabella","contenuto","3","Suite Ufficio","SU03.05","Analizzare e cercare","su03-05-analisi.html","7","Ricerca verticale","non verificata","","","su03-05-analisi.html#slide-7"
"b prezzo","b prezzo","3","b prezz","1","","0","tema condiviso con blocco principale","RW01.04 · Ricerca e gestione delle informazioni","B (Prezzo)","usare il blocco principale come riferimento","lemma: b prezzo","voce autonoma o già distinta","3","intestazione_tabella","contenuto","3","Suite Ufficio","SU03.05","Analizzare e cercare","su03-05-analisi.html","10","Estrarre per posizione","non verificata","","","su03-05-analisi.html#slide-10"
"bluetooth","bluetooth","3","bluetooth","2","reti e connettivita","72","tema condiviso con blocco principale","RW01.01 · Reti informatiche e Internet","Bluetooth","usare il blocco principale come riferimento","lemma: bluetooth","voce autonoma o già distinta","3","badge","contenuto","3","Hardware e Software","HS01","Dentro il computer","hs01-componenti.html","21","Le connessioni wireless","non verificata","","","hs01-componenti.html#slide-21"
"bluetooth","bluetooth","3","bluetooth","2","reti e connettivita","72","tema condiviso con blocco principale","RW01.01 · Reti informatiche e Internet","Bluetooth","usare il blocco principale come riferimento","lemma: bluetooth","voce autonoma o già distinta","3","titolo_h3","contenuto","3","Smartphones","SM02","Connessioni e reti mobili","sm02-connessioni-reti-mobili.html","2","Sempre connessi","non verificata","","","sm02-connessioni-reti-mobili.html#slide-2"
"bluetooth","bluetooth","3","bluetooth","2","reti e connettivita","72","tema condiviso con blocco principale","RW01.01 · Reti informatiche e Internet","Bluetooth","usare il blocco principale come riferimento","lemma: bluetooth","voce autonoma o già distinta","3","titolo_h2","contenuto","3","Smartphones","SM02","Connessioni e reti mobili","sm02-connessioni-reti-mobili.html","5","Bluetooth","non verificata","","","sm02-connessioni-reti-mobili.html#slide-5"
"commenti","commenti","3","comment","2","","0","ricorrenza rara verificata in contesti distinti","","Commenti","mantenere distinta per contesto","lemma: commenti","voce autonoma o già distinta","3","titolo_h3","contenuto","3","Suite Ufficio","SU01.02","Software Google","su01-02-google-workspace.html","6","Google Docs","non verificata","","","su01-02-google-workspace.html#slide-6"
"commenti","commenti","3","comment","2","collaborazione digitale","14","ricorrenza rara verificata in contesti distinti","","Commenti","mantenere distinta per contesto","lemma: commenti","voce autonoma o già distinta","3","titolo_h3","contenuto","3","Suite Ufficio","SU03.05","Analizzare e cercare","su03-05-analisi.html","6","Condivisione e automazioni","non verificata","","","su03-05-analisi.html#slide-6"
"commenti","commenti","3","comment","2","cloud backup e sincronizzazione","37","ricorrenza rara verificata in contesti distinti","","Commenti","mantenere distinta per contesto","lemma: commenti","voce autonoma o già distinta","3","titolo_h3","contenuto","3","Suite Ufficio","SU03.11","Fogli di calcolo avanzati","su03-11-fogli-calcolo-avanzati.html","10","Lavorare in cloud senza perdere controllo","non verificata","","","su03-11-fogli-calcolo-avanzati.html#slide-10"
"comportamento","comportamento","3","comportament","2","","0","ricorrenza rara verificata in contesti distinti","","comportamento","mantenere distinta per contesto","lemma: comportamento","voce autonoma o già distinta","3","grassetto","contenuto","3","Sicurezza Digitale","SD02","Minacce e Vulnerabilità","sd02-minacce.html","14","Antivirus vs EDR","non verificata","","","sd02-minacce.html#slide-14"
"comportamento","comportamento","3","comportament","2","","0","ricorrenza rara verificata in contesti distinti","","Comportamento","mantenere distinta per contesto","lemma: comportamento","voce autonoma o già distinta","3","titolo_h3","contenuto","3","Suite Ufficio","SU02.01","Mettere tutto per iscritto","su02-01-documenti.html","4","Cosa deve contenere","non verificata","","","su02-01-documenti.html#slide-4"
"comportamento","comportamento","3","comportament","2","","0","ricorrenza rara verificata in contesti distinti","","Comportamento","mantenere distinta per contesto","lemma: comportamento","voce autonoma o già distinta","3","grassetto","contenuto","3","Suite Ufficio","SU03.03","Fondamenti matematici","su03-03-fondamenti-matematici.html","31","Funzioni razionali","non verificata","","","su03-03-fondamenti-matematici.html#slide-31"
"comprendere","comprendere","3","comprend","1","tipi di dato","81","ricorrenza rara verificata in contesti distinti","","comprendere","mantenere distinta per contesto","lemma: comprendere","voce autonoma o già distinta","3","grassetto","contenuto","3","Intelligenza Artificiale","IA03","LLM — Large Language Models","ia03-llm.html","4","Perplexity: cosa sostiene il testo","non verificata","","","ia03-llm.html#slide-4"
"comprendere","comprendere","3","comprend","1","intelligenza artificiale","29","ricorrenza rara verificata in contesti distinti","","comprendere","mantenere distinta per contesto","lemma: comprendere","voce autonoma o già distinta","3","grassetto","contenuto","3","Intelligenza Artificiale","IA03","LLM — Large Language Models","ia03-llm.html","9","L'LLM comprende ?","non verificata","","","ia03-llm.html#slide-9"
"comprendere","comprendere","3","comprend","1","","0","ricorrenza rara verificata in contesti distinti","","Comprendere","mantenere distinta per contesto","lemma: comprendere","voce autonoma o già distinta","3","titolo_h3","contenuto","3","Intelligenza Artificiale","IA04","Diversi modelli di IA","ia04-diversi-modelli-ia.html","3","Una mappa per orientarsi","non verificata","","","ia04-diversi-modelli-ia.html#slide-3"
"controlla","controlla","3","controll","3","","0","ricorrenza rara verificata in contesti distinti","","Controlla:","mantenere distinta per contesto","lemma: controlla","voce autonoma o già distinta","3","grassetto","contenuto","3","Hardware e Software","HS05","Troubleshooting","hs05-troubleshooting.html","3","La checklist dei primi 60 secondi","non verificata","","","hs05-troubleshooting.html#slide-3"
"controlla","controlla","3","controll","3","","0","ricorrenza rara verificata in contesti distinti","","Controlla","mantenere distinta per contesto","lemma: controlla","voce autonoma o già distinta","3","titolo_h3","contenuto","3","Programmazione","PR01.04","Costrutti e verifica","pr01-04-costrutti-verifica.html","4","Ripetere senza perdere il controllo","non verificata","","","pr01-04-costrutti-verifica.html#slide-4"
"controlla","controlla","3","controll","3","","0","ricorrenza rara verificata in contesti distinti","","Controlla","mantenere distinta per contesto","lemma: controlla","voce autonoma o già distinta","3","grassetto","contenuto","3","Suite Ufficio","SU03.10","Grafici nei fogli di calcolo","su03-10-grafici.html","12","Grafici dinamici e PivotChart","non verificata","","","su03-10-grafici.html#slide-12"
"differenza","differenza","3","differenz","2","reti e connettivita","72","ricorrenza rara verificata in contesti distinti","","Differenza:","mantenere distinta per contesto","lemma: differenza","voce autonoma o già distinta","3","principio","contenuto","3","Hardware e Software","HS01","Dentro il computer","hs01-componenti.html","23","Il Bluetooth","non verificata","","","hs01-componenti.html#slide-23"
"differenza","differenza","3","differenz","2","","0","ricorrenza rara verificata in contesti distinti","","Differenza","mantenere distinta per contesto","lemma: differenza","voce autonoma o già distinta","3","titolo_h3","contenuto","3","Suite Ufficio","SU03.03","Fondamenti matematici","su03-03-fondamenti-matematici.html","8","Differenza e complemento","non verificata","","","su03-03-fondamenti-matematici.html#slide-8"
"differenza","differenza","3","differenz","2","social network","10","ricorrenza rara verificata in contesti distinti","","Differenza","mantenere distinta per contesto","lemma: differenza","voce autonoma o già distinta","3","titolo_h3","contenuto","3","Suite Ufficio","SU03.09","Tabelle pivot avanzate","su03-09-tabelle-pivot-avanzate.html","3","Lo stesso valore può raccontare storie diverse","non verificata","","","su03-09-tabelle-pivot-avanzate.html#slide-3"
"dns","dns","3","dns","1","domini dns e indirizzi web","27","tema condiviso con blocco principale","RW01.03 · Domini e indirizzi Internet","DNS","usare il blocco principale come riferimento","lemma: dns","voce autonoma o già distinta","3","grassetto","contenuto","3","Reti e Web","RW01.01","Reti Informatiche e Internet","rw01-01-reti.html","6","Internet ≠ World Wide Web","non verificata","","","rw01-01-reti.html#slide-6"
"dns","dns","3","dns","1","domini dns e indirizzi web","27","tema condiviso con blocco principale","RW01.03 · Domini e indirizzi Internet","DNS","usare il blocco principale come riferimento","lemma: dns","voce autonoma o già distinta","3","grassetto","contenuto","3","Reti e Web","RW01.02","Navigazione e Indirizzi Web","rw01-02-navigazione.html","3","I protocolli di rete","non verificata","","","rw01-02-navigazione.html#slide-3"
"dns","dns","3","dns","1","domini dns e indirizzi web","27","tema condiviso con blocco principale","RW01.03 · Domini e indirizzi Internet","DNS","usare il blocco principale come riferimento","lemma: dns","voce autonoma o già distinta","3","grassetto","contenuto","3","Reti e Web","RW01.02","Navigazione e Indirizzi Web","rw01-02-navigazione.html","9","Cos'è un dominio ?","non verificata","","","rw01-02-navigazione.html#slide-9"
"documenti","documenti","3","document","2","documenti e videoscrittura","34","tema condiviso con blocco principale","SU02.01 · Mettere tutto per iscritto","Documenti","usare il blocco principale come riferimento","lemma: documenti","voce autonoma o già distinta","3","grassetto","contenuto","3","Hardware e Software","HS04","OS: concetti fondamentali","hs04-os-concetti.html","10","Utenti, privilegi e perché importano per la sicurezza","non verificata","","","hs04-os-concetti.html#slide-10"
"documenti","documenti","3","document","2","documenti e videoscrittura","34","tema condiviso con blocco principale","SU02.01 · Mettere tutto per iscritto","Documenti","usare il blocco principale come riferimento","lemma: documenti","voce autonoma o già distinta","3","titolo_h3","contenuto","3","Reti e Web","RW02.01","La Posta Elettronica","rw02-01-email.html","15","Gli allegati","non verificata","","","rw02-01-email.html#slide-15"
"documenti","documenti","3","document","2","documenti e videoscrittura","34","tema condiviso con blocco principale","SU02.01 · Mettere tutto per iscritto","Documenti","usare il blocco principale come riferimento","lemma: documenti","voce autonoma o già distinta","3","titolo_h3","contenuto","3","Reti e Web","RW02.03","Gestire e Archiviare Contenuti","rw02-03-contenuti.html","3","Cosa sono i contenuti digitali","non verificata","","","rw02-03-contenuti.html#slide-3"
"dominio","dominio","3","domini","1","domini dns e indirizzi web","27","progressione nello stesso blocco","RW01.03 · Domini e indirizzi Internet","Dominio","mantenere come progressione","lemma: dominio","voce autonoma o già distinta","3","grassetto","contenuto","3","Suite Ufficio","SU03.03","Fondamenti matematici","su03-03-fondamenti-matematici.html","23","Dominio, codominio e immagine","non verificata","","","su03-03-fondamenti-matematici.html#slide-23"
"dominio","dominio","3","domini","1","domini dns e indirizzi web","27","progressione nello stesso blocco","RW01.03 · Domini e indirizzi Internet","Dominio","mantenere come progressione","lemma: dominio","voce autonoma o già distinta","3","grassetto","contenuto","3","Suite Ufficio","SU03.03","Fondamenti matematici","su03-03-fondamenti-matematici.html","33","Potenze e radici","non verificata","","","su03-03-fondamenti-matematici.html#slide-33"
"dominio","dominio","3","domini","1","domini dns e indirizzi web","27","progressione nello stesso blocco","RW01.03 · Domini e indirizzi Internet","Dominio","mantenere come progressione","lemma: dominio","voce autonoma o già distinta","3","grassetto","contenuto","3","Suite Ufficio","SU03.03","Fondamenti matematici","su03-03-fondamenti-matematici.html","34","Esponenziali e logaritmi","non verificata","","","su03-03-fondamenti-matematici.html#slide-34"
"driver","driver","3","driver","1","aggiornamenti e manutenzione software","32","tema condiviso con blocco principale","HS04 · Concetti fondamentali degli OS","Driver","usare il blocco principale come riferimento","lemma: driver","voce autonoma o già distinta","3","grassetto","contenuto","3","Hardware e Software","HS03","Sistemi Operativi","hs03-os.html","9","Linux: libero, potente, ovunque","non verificata","","","hs03-os.html#slide-9"
